year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2022,9,396,49682,396,50098.82363519684,416.82363519683713,0.838983203568369
2022,10,36,4080,36,4080,0,0
2022,11,61,9955,61,9955,0,0
2022,12,2076,277357,2076,277357,0,0
2022,13,328,37795,328,37795,0,0
2022,15,172,24048,172,24048,0,0
2022,16,74,10038,74,10038,0,0
2022,17,808,114410,808,117079.02235710097,2669.02235710097,2.332857579845267
2022,18,268,40324,268,40324,0,0
2022,19,102,23617,102,23617,0,0
2022,20,47,6355,47,6355,0,0
2022,21,146,21653,146,21653,0,0
2022,22,134,13625,134,13625,0,0
2022,23,41,4390,41,4417.4698378682315,27.46983786823148,0.6257366257000337
2022,24,608,76701,608,76701,0,0
2022,25,1538,221297,1538,221297,0,0
2022,26,443,64696,443,64696,0,0
2022,27,198,41426,198,41426,0,0
2022,28,22,2244,22,2244,0,0
2022,29,106,9260,106,9260,0,0
2022,30,8,543,8,543,0,0
2022,31,60,8742,60,8742,0,0
2022,32,288,36306,288,36306,0,0
2022,33,21,3902,21,3902,0,0
2022,34,1082,137683,1082,139435.6930365157,1752.6930365157023,1.2729916086341104
2022,35,179,23790,179,23790,0,0
2022,36,5034,637598,5034,640659.3930088464,3061.3930088464404,0.4801447007121164
2022,37,323,39382,323,39382,0,0
2022,38,3,449,3,449,0,0
2022,39,252,38985,252,38985,0,0
2022,40,99,15220,99,15220,0,0
2022,41,332,42335,332,43228.73513662908,893.7351366290823,2.1111022478542156
2022,42,485,84962,485,84962,0,0
2022,44,116,20152,116,20330.997656112286,178.99765611228577,0.888237674237226
2022,45,100,10469,100,10469,0,0
2022,46,3,1288,3,1288,0,0
2022,47,177,24171,177,24171,0,0
2022,48,1994,245334,1994,245334,0,0
2022,49,86,11590,86,11590,0,0
